Vivado Simulator 2018.2
Time resolution is 1 ps
                   0 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   X
                   5 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 205 mode = 0, button1 = 1, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 215 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 220 mode = 0, button1 = 1, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 345 mode = 0, button1 = 1, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 355 mode = 0, button1 = 1, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 420 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 445 mode = 0, button1 = 0, button2 = 1, button3 = 0, button4 = 0, led =   Z
                 565 mode = 0, button1 = 0, button2 = 1, button3 = 0, button4 = 0, led =   Z
                 575 mode = 0, button1 = 0, button2 = 1, button3 = 0, button4 = 0, led =   Z
                 645 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 670 mode = 0, button1 = 0, button2 = 1, button3 = 1, button4 = 0, led =   Z
                 795 mode = 0, button1 = 0, button2 = 1, button3 = 1, button4 = 0, led =   Z
                 805 mode = 0, button1 = 0, button2 = 1, button3 = 1, button4 = 0, led =   Z
                 870 mode = 0, button1 = 0, button2 = 0, button3 = 0, button4 = 0, led =   Z
                 895 mode = 1, button1 = 0, button2 = 1, button3 = 0, button4 = 0, led =   Z
